region,category,powertrain,year,unit,value,parameter_EV sales,parameter_EV sales share,parameter_EV stock,parameter_EV stock share,parameter_Electricity demand,parameter_Oil displacement Mbd,"parameter_Oil displacement, million lge",powertrain_BEV,powertrain_EV,powertrain_FCEV,powertrain_PHEV
India,Projection-STEPS,BEV,2023,Vehicles,150000.0,False,False,True,False,False,False,False,True,False,False,False
India,Projection-STEPS,FCEV,2023,Vehicles,3.0,False,False,True,False,False,False,False,False,False,True,False
India,Projection-STEPS,BEV,2023,Vehicles,82000.0,True,False,False,False,False,False,False,True,False,False,False
India,Projection-STEPS,EV,2023,percent,0.3100000023841858,False,False,False,True,False,False,False,False,True,False,False
India,Projection-STEPS,EV,2023,GWh,410.0,False,False,False,False,True,False,False,False,True,False,False
India,Projection-STEPS,EV,2023,percent,2.0,False,True,False,False,False,False,False,False,True,False,False
India,Projection-STEPS,EV,2023,Milion barrels per day,0.002600000007078,False,False,False,False,False,True,False,False,True,False,False
India,Projection-STEPS,EV,2023,"Oil displacement, million lge",150.0,False,False,False,False,False,False,True,False,True,False,False
India,Projection-STEPS,EV,2025,Milion barrels per day,0.0099999997764825,False,False,False,False,False,True,False,False,True,False,False
India,Projection-STEPS,EV,2025,"Oil displacement, million lge",580.0,False,False,False,False,False,False,True,False,True,False,False
India,Projection-STEPS,EV,2025,percent,7.0,False,True,False,False,False,False,False,False,True,False,False
India,Projection-STEPS,BEV,2025,Vehicles,320000.0,True,False,False,False,False,False,False,True,False,False,False
India,Projection-STEPS,PHEV,2025,Vehicles,4200.0,True,False,False,False,False,False,False,False,False,False,True
India,Projection-STEPS,BEV,2025,Vehicles,590000.0,False,False,True,False,False,False,False,True,False,False,False
India,Projection-STEPS,PHEV,2025,Vehicles,4200.0,False,False,True,False,False,False,False,False,False,False,True
India,Projection-STEPS,EV,2025,GWh,1600.0,False,False,False,False,True,False,False,False,True,False,False
India,Projection-STEPS,EV,2025,percent,1.0,False,False,False,True,False,False,False,False,True,False,False
India,Projection-STEPS,EV,2030,percent,5.0,False,False,False,True,False,False,False,False,True,False,False
India,Projection-STEPS,EV,2030,GWh,12000.0,False,False,False,False,True,False,False,False,True,False,False
India,Projection-STEPS,BEV,2030,Vehicles,1000000.0,True,False,False,False,False,False,False,True,False,False,False
India,Projection-STEPS,PHEV,2030,Vehicles,6500.0,True,False,False,False,False,False,False,False,False,False,True
India,Projection-STEPS,BEV,2030,Vehicles,4000000.0,False,False,True,False,False,False,False,True,False,False,False
India,Projection-STEPS,PHEV,2030,Vehicles,32000.0,False,False,True,False,False,False,False,False,False,False,True
India,Projection-STEPS,EV,2030,percent,18.0,False,True,False,False,False,False,False,False,True,False,False
India,Projection-STEPS,EV,2030,Milion barrels per day,0.0649999976158142,False,False,False,False,False,True,False,False,True,False,False
India,Projection-STEPS,EV,2030,"Oil displacement, million lge",3800.0,False,False,False,False,False,False,True,False,True,False,False
India,Projection-STEPS,EV,2035,Milion barrels per day,0.1599999964237213,False,False,False,False,False,True,False,False,True,False,False
India,Projection-STEPS,EV,2035,"Oil displacement, million lge",9300.0,False,False,False,False,False,False,True,False,True,False,False
India,Projection-STEPS,EV,2035,percent,25.0,False,True,False,False,False,False,False,False,True,False,False
India,Projection-STEPS,BEV,2035,Vehicles,1700000.0,True,False,False,False,False,False,False,True,False,False,False
India,Projection-STEPS,PHEV,2035,Vehicles,9000.0,True,False,False,False,False,False,False,False,False,False,True
India,Projection-STEPS,BEV,2035,Vehicles,11000000.0,False,False,True,False,False,False,False,True,False,False,False
India,Projection-STEPS,PHEV,2035,Vehicles,72000.0,False,False,True,False,False,False,False,False,False,False,True
India,Projection-STEPS,EV,2035,GWh,31000.0,False,False,False,False,True,False,False,False,True,False,False
India,Projection-STEPS,EV,2035,percent,12.0,False,False,False,True,False,False,False,False,True,False,False
Rest of the world,Projection-STEPS,EV,2020,GWh,1700.0,False,False,False,False,True,False,False,False,True,False,False
Rest of the world,Projection-STEPS,EV,2020,Milion barrels per day,0.0109999999403953,False,False,False,False,False,True,False,False,True,False,False
Rest of the world,Projection-STEPS,EV,2020,"Oil displacement, million lge",610.0,False,False,False,False,False,False,True,False,True,False,False
Rest of the world,Projection-STEPS,EV,2020,percent,0.7900000214576721,False,True,False,False,False,False,False,False,True,False,False
Rest of the world,Projection-STEPS,EV,2020,percent,0.1899999976158142,False,False,False,True,False,False,False,False,True,False,False
